class,class_encoded,conversation
일반 대화,4,근데 북한 영변에서 우라늄 농축 생산 시설... 확장 이거 뭐냐 북한은 그게 왜 저럴까 진짜. ㅠㅠ 미국이 발견했나? 본데? 이래서 북한에게 돈 주면 안 되는 기라 신기하다 저런 거 어떻게 발견하는 거야 현 정권이 북한을 다시 잡아 살림 ㅠㅠ 미국의 정보력이란 정말 ㄷㄷ 근데 우리는 미국과 더 굳건해야 해 졸 몰래 그렇게 했을 꺼 아냐 ㄷㄷ 구니까 미국은 국방력이 진짜 쎄닿 이러다 급 전쟁 나는 거 아냐? ㄷㄷ 전쟁이 쉽게 나진 않을 듯 그래...? 아니 막 미국이 핵 없애라고 그러면 열을 안 받아서 북한하고 전쟁 나면 그거시 3차 세계대전이래 헐랭 ㄷㄷ 이건 핵전쟁이겠지? 그럼 지금 이 지구는 핵전쟁으로 멸망 ㅠㅠ
일반 대화,4,* * * * * 눈썹 문신 언제 가냐 아 가야 되는데 아 귀찮아 이제 날씨도 쌀쌀해졌는데 딱 각이당 구니까 아 근데 짱구 될까 봐 그거 여름에는 하기에 좀 그렇거든 응 짱구 될까 봐 못 하겠음 아 아냐 요즘은 자연스럽게 해준다니까 키키 그렇다곤 하던데 케바케지야 그 해서 너도 까준이가 돼 보렴 잘하는데 아 아는 데 있니 키키 엉 시내에 졸졸 잘하는 데서 발견 이마가 넓어서 못 깜 거기서 하면 아 그냥 바로 자연스럽다는 아빠 닮아서 ㅠㅠ 짜증이 나네 머리 까짐 그게 멋이라고 이 양반아 키키 멋이 아냐 ㅠㅠ 나중에 머리 심어줘
일반 대화,4,나 건강 검진 가야 하는데... 언젠데? 같이 병원 가줄까 졸 귀찮아서 아직도 안 갔음... 가긴 해야 되는데 건강해잊 이번 몇 년도까지 해야만 하는 거얌!! 천천히 한번 가봐 하하 한 11월 - 12월에 갈라궁... 하하 나 구래랑 같이 가 줄께 그때 응응 근데 나 너 회사 때문에. ㅠ 요새 걷고 해서 괜찮을 듯 같이 병원 안 가줘도 괜찮아 키키 회사야 뭐 ㅇ ㅓ 잠깐 나옴 되지 엉 나 여태 피검사에서 이상한 거는 나온 적 없어 마쟈 그리고 넌 날씬이니까 내시경도 할라나? 그게 무서운뎅? 내시경은 한 번도 안
일반 대화,4,* * 요즘 배 값이 어때? 옳 배값 많이 떨어짐 추석이니까 오르지 않았어? 추석대목 되면서 물량 폭팔 어머나 난 올랐을 줄 ㄷㄷ 추석 일주일여 전이 비싸지 원래 명절엔 과일이 비싼뎅? 추석 다가오면 떨어져도 물량이 많아서 우리 엄마는 명절에 사는데? 그건 소매상들이 등쳐먹는 거 거쥐 이상하네 키키 배 값이 많이 나와야만 할 텐데 ㅠ 한탕 땡겨 가지고 돈 벌려고 이미 그래도 많이 했다던디? 아 그렇구나 ㄷㄷ 그래도 다행이다. 우리는 배를 안 사 먹어도 돼서 엄마가 완젼 부자지 하하 이번에 얼마 하셨뎅 키키 그래도 우리 집 배가 살 맛은 있어
일반 대화,4,야 얌 스우파 보니까 또 존잼이더제 맞아 나는 모니카가 하하 그거 너 처음에 안 본다고 그랬잖아 근데 모니카 컴백홈 보고 팬이 됨 완전 옛날 사람 될 뻔!! 아 빨리 보고 싶다. 또 * * 근데 모니카 안티 많더라 화요일까지 어케 기다림 근데 사람들이 간지를 모르노 모니카가 왜 싸가지 없다고? 응응 넘나 싸가지 없다고 립제이도 개 존멋인데 어이 없음 근데 나 리정이 걔가 더 싸가지 없음 프라이드우먼 간지 좔조라 마자 나도 나 립제이 좋아행 우린 같이 그럼 프라이우먼 응원하쟈 하하
일반 대화,4,하하 * * * 귀칼 언제 나옴 귀칼은 10월에 나온다던디 2부 소식 안 들리더나 키키 빨리 보고 싶네 내 인생 애니야 하하 아 10월에 나온대? 헐랭 일본에 곧 일본 애니가 방영 시작하듯이 또 * * 귀칼 본다고 난리겠네 키키 넷플에 언제쯤 올라오려나 하하 난 그럼 그때 연습이나 해야쥐... 빨리 보고 보고 싶은데 못 참아 ㅠㅠ 난 귀칼 졸려서 재미 없으니까.... 너도 같이 보면 재밌을 텐데 그럼 일본 꺼로 못 봐? 아 그럼 너무 화질이 안 좋을 듯 아냐 난 영 내 스타일 아니더라구... 나는 포케이를 선호함 하하
일반 대화,4,* 오늘 오늘 점심 뭐 먹었어? 키키 오늘 오늘 점심은 샌드위치 먹는당!! 난 요즘 다이어트 중이라서 식사 시간이 재미가 없넹... 에에? 중이라니 뭔 말이누? ㅠㅠ 중이라가 뭐야 다이어트 중이라고? 키키 키키 난 너가 뭔 소리를 하나 했네 키키 샌드위치 먹어서 엄청 빨리 먹었구나?? 스님들 말하는 중 말하는 줄 알았자나 옹옹 샌드위치 순삭이제 한입거리임 키키 키키 사 먹는 거야? 아님 싸왔어? 배달로 시켜 먹었어 키키 쉬림프 샌드위치 샌드위치랑 블루베리 스무디 아 배달 그래 요즘은 별걸 다 배달해주드랑 하하. 요새는 배달 없으면 밥 굶고 살어 ㅜㅜ 맛있겠노 키키 쉬림프 샌드위치 맛있겠노. ㄷㄷ 기막히는 맛이제. 침 줄줄 흐른다이 다이어트 하는 중은 아니지? 다이어트는 10년째 하는 중이라서...
일반 대화,4,아파트 살기는 진짜 뭐 같넹 하하 왜?? 아파트 뭐 불편해? 너무 답답해 층간 소음 신경 쓰이고 ㅠ 아 ~ 나도 윗집 애기들 너무 뛰어다녀서 신경 쓰여 위에 이상한 할머니 이사 와서 미칠 지경 ^ ^ 키키 와 ~ 어딜 가나 이상한 할머니 사람은 존재한다더니 할머니 난간 청소 창틀 난간 청소 하루에 한 두 번씩 하는 일인 듯... 얼마 전에. 나는 윗집 올라가서 싸웠자나 우리 집으로 다들 이사 들어와 ㅠ 진짜 요즘 맨날 창문 열고 사는데. ㅠ 헐 ㅠㅠ 무슨 창틀 청소를 그렇게 자주 하셔 키키 애들이 너무 뛰어서? 그러다 큰일이 난다 ㅠ 몇 번 방송으로 말씀드렸는데도 시끄러워서.... 그니까... 넘 별난 이웃들 만나서 엄청 신경 쓰임 ㅡㅡ 질량보존의 법칙이라고... 어딜 가나 존재한다 매트 깔라고 말하지! 애들 난한 집은 필로티로 가야 해.... 오죽하면 층간소음 슬리퍼 들고 올라가서 따졌자나
일반 대화,4,광주는 오고 광주 가는 버스가 없어서 불편하넹... 진주에서 광주 오는 버스를 말하는 거지? 웅 갈 때 차 타고 광주 가는 걸 수밖에 없는 거랑 같아 맞아 너한테 광주 놀러 갈 때도 버스편이 많이 없었지 마지막 차도 엄청 빠르구... 금방 끊겨버리고 불편했어 ~ 지금은 그래도 키키 난 아직 여전히 초보라 키키 광주까지 가기 무섭네... 장거리 한 번씩 뛰어줘야지 키키 그래야 운전이 늘 거야 넌 이제 완전 운전 마스터냐?. 키키 나야 뭐 운전은 말해 모해 ~ 장거리 갈 일이 없네.... 시국이 왜 이래가 아 그렇긴 하다... 시국이 시국이라 키키 멋있당 * * 난 아직 넘넘 초보얌... 드넓은 운동장에서 열심히 드라이브 해 봐 ~ 애기가 있으면 차는 필수인 듯! 요즘 요즘 같은 시국에는 더더욱 차가 필수지
일반 대화,4,요즘 출근할 때 그럼 차 끌고 가는 그런 거야? 웅 지하철 타고 출근하는데 ㅠㅠ 웅 헐랭 개멀잖아 키키 넘 힘들겠는데 차 타고 지하철역 근처에 차 주차해놔 놓고 지하철 키키 아아 그런 방법이 키키 왜 주차 하기가 너무 너무 불편해? 회사 주차장이 너무 복잡해서 그렇게 하는 게 키키 그래 차 끌고 지하철 나가면 주차 걱정부터 해... 키키 너무 복잡해서 주차할라면서 화부터 나 야근 할 때도 있어? 웅 한 2주 정도는 더 야근했단다 ㅜㅜ 웅 헐랭... 집에 가면 우리 애기 자고 있겠어? 우리 강아지는 쿨쿨 낸내 하고 있지? ㅜㅜ ㅠ 짠하넹 ㅜㅜ ㅠ 그래도 멋있다 * * * 그래도 이번 회사는 좀 괜찮은 거 같여 저번 회사보다 나아? 웅. 복지나 이런 것도 저번 회사보다 훨 나아
일반 대화,4,남편님은 군대 다녀 오셨니...? 웅 우리 * * * 이는 군대 갔다 왔제 상남자! 키키 어디 다녀 오셨어? * * * 이야? 웅 애칭이 * * 이야 키키 몰라? 어딘지는 몰라도 키키 관심 없군...? 키키 우리 오빠 광주에 있었뎅... 에? * * * 이는 씨가 광주에 있었다고? 집 앞 5분 정도 거리에서 공군 지원 부대 놔두고 광주까지 가심 ㄷㄷ 아 맞다! 그때 말해주셨지 ~ ~ 키키 너네 집이랑 가까운 곳이더라? 맞어 우리 오빠 집에서 한 10분 정도 가면 돼 우린 진주로 가는 버스 버스에서 아무래도 몇 번 만났을 듯 키키 천생연분 부부연이였네 키키 그랬을지도 모르겠다 시기가 우리 학교 다닐 때가 그때더라구 키키 헐 ~ 그럼 진짜 니 말대로 마주쳤을 수도 키키 응 버스 잘 없어서 만났을 듯 키키 진주 가는 버스 몇 대 없응게 다 거기 사람일 키키
일반 대화,4,내 친구 * * 가 영어 학원 선생님 얘길 하거든...? 헐 ~ 영어 학원 선생님? 어디서? 거기 몇 세부터 학원 다니냐니까 24개월부터 받아준대... 뭐라고? 24개월이면 이제 두 살인데... 키키 실화냐고 나 너무 놀랬엉 ㅠ 애 엄마인 나도 몰랐당... 24개월부터라니? 엉 보통 12개월부터 테이프 듣게도 하고... 테이프를 안 듣는다고? 12개월이? 6살이면서 영어 책 같은 건 술술 읽는데 실화냐고 세종대왕이 아시면 극대노할 만한 일이다 그래도 영어보다 한국말을 더 잘하긴 한다더라 키키 그래야지. 본투비 한국인인데.... 진짜 놀랍다 너무 놀람.... 근데 그 테이프랑 책이 왜? 200? 아 미쳤다리 와 애들 하나 키우는데 돈 진짜 많이 들어가네 그니까 애 못 낳겠음 아무래도 키키 근데 엄마들이 그 학원 등록할라고 난리일 거 아냐?
일반 대화,4,어른들이 손주 엄청 좋아하시지? 하하 이뻐 죽지 ~ 우리 시아버지는 난리 난다 키키 완전 귀여워 우리 강아지야 우쭈쭈야? 강아지 오면 이름 부르고 안고 빨고 난리여 그런 그런 거 들으면 흐뭇하당 키키 무릎에서 안 내려 놓으심 키키 진짜 너무 흐뭇해 근데 애기들도 우리 할머니 할아버지는 본능적으로 좋아하더라? 처음에는 울더니 이제 얼굴이 익어서 좋아해 우리 할머니 할머니 조카도 이제 돌인데 자기 할아버지만 기가 기가 막히게 좋아행... 다 뜻이 있는 거야... 짜식들 인생의 맛을 다 알았구만 그래도 키키 지를 좋아하는 걸 아는 그런 거 같더라구 애기들도 지 이뻐하면 좋아라 하드라 집에 아이가 있으니까 분위기가 좀 다르긴 하더라 ㅠ 애가 있으면서 별것도 별거 아닌 거에 웃고 이야기거리가 새역 할배의 손주 사랑 하하 아주 마음이 흐뭇하구먼 얼마나 기다리셨을까 시펑 ㅜㅜ
일반 대화,4,* * 결혼식 어땠는뎅 하하 후기 즘 어 너무 이쁘고 좋았어 아 확실히 새로 새로 지은 데라서 아 새로 지은 데야? 요즘은 진짜 이쁘드라 웅 새로 지은 곳이야 아니 홀이 외부처럼 꾸며져 있어서 외부처럼? 그런 데는 안 가 봤네 근데 코로나라는 사람들은 많이 없더라 ㅜㅜ 마저 나도 아직 못 갔자나 ㅠ ㅠ * * 울었어? 아 웅 아부지 사진 나올 때 울드라 나도 움 헐... 말만 들었는데 울컥한다 동영상을 편집해서 보여주는데 아 대오열 헐... 동영상도 그래 그런 저런 거 틀어 주더라고 ㅠ ㅠ 아주 너무 잘 만들었더라고 ㅠㅠ 아 누가 봐도 폭풍오열 할 영상 ㄷㄷ 개 눈물 날듯... 말만 들어도 슬프노? 너도 왔으면 오열했을 각이다 ㅜㅜ 아 엉 나 * * 아부지 장례식 때도 아 넘 슬펐어... 아휴 진짜 인생에서 큰일을 다 치뤘어
일반 대화,4,* 그저께 우리개 벅수 7세 생일이었어 개 개 벅수 탄신일 7주년이였음? 왜 축하 안 해줬어? 개 벅뚜 서운해 헐 우리 벅뚜띠 7주년 기념 탄신일은 추카 포카리스웨트 ~ ~ 키키 엉? 이제 고작 7세라는 거 ㅋㅋㅋ 넘 귀엽고 난리 키키 키키 우리 감자도 8살일까나... 감자가 벌써 8살이여? 감자 잘 잘 지내뉘 웅 감자는 빵이랑 같이 잘 잘 지낼 거야 ㅜㅜ 개 벅수 늙었다 생각했는데 우리 동네에 24살 된 강아지 있어... 24살이 된 강아지? 실화냐? 비결이 뭐래 넘 애기 같아서 앤 몇 살이예요 했는데 24살이래 ㄷㄷㄷ 헐... 비결 공유 점여? ㅠㅠ 나도 감자빵이랑 24년 살고파여 내랑 몇 살 차이 안 나고 난리 키키 ㅋㅋㅋ 키키 ㅋㅋㅋ 그러네 나이 차이 별로 안 나 우리 애기랑은 약 한 23살 차이 나넹 ^... 음... 그러네 우리 애기 아가야는 아직 어리자나
일반 대화,4,요즘 하는 운동 있니 키키 나 애 낳고 또 필라테스 하고 다녔었어 와 그거 졸 고통스럽다던데 웅 선생님 뺨 때리고 싶음 ㅜㅜ 내 돈 주고 내가 왜 이 짓을 하나... 그런 마음이라던데 키키 어어어 내가 돈 내고 내가 듣는다는 건데 화가 나 키키 이젠 안 다녀? 운동 효과 봤어? 웅 좀 몸매교정이나 그런 건 좀 확실히 있는 거 거 같애 아니 비싸시더라구요 필라테스님 어휴 장난 아니에여 개비싸다구여 1대 1은 오지게 비싸시더라구욧 1대 1은 결제도 안 하고 못 행 손 떨려서. ㅜㅜ 키키 집에서는 못하는 운동이지? 집에서도 할 수 있는데 아마도 안 할껄? 키키 요즘 재밌는 운동도 안 하는디 ^ _ ^ 집에서는 숨쉬기 운동이 국룰이지 키키
일반 대화,4,요즘 하는 게임 있뉘.... 나 19세 게임해... 야한 거 바쁜 * * 가 게임 할 만한 시간이 있겠냐만은.... 웅 바쁜 시간 나노로 쪼개서 게임 해. 뭐라고? 게임이 야한 게 있냐?. 키키 나도 스트레스 풀어야지 그럼 스토리 만들어 가는 그런 건데 왕게임 같은 거냐...? 세상에나 막 채찍으로 때리고 즐기고 하는 그런 거... 키키 개웃겨 키키 이 내용을 볼 누군가에게 부끄럽네... * * 이가 보더니 질색팔색을 하더라..... 내 게임 취향 훗 키키 질색 팔색의 할만두... 뭔 일이데 아주미 애 낳아봐라 ~ 로맨스가 그립다굿 ~ 나중에 조심히라도 정보 공유 좀 유... 좌표 안내해 드릴게여 아주미 ~ 키키 불법적인 거야...? 경찰서에서 전화 오는 거 아냐? 키키 겁나 합법적이거든요 걱정 마시고 따라오삼
일반 대화,4,여행 가고도 싶다구욧...! 여행! 지금 이 시국엔 그냥. 완전 완전 집콕이라구요! 위드 코로나 해도 안 가실 건가유? 갈 건데요 가야져 인생 한 번 뿐인데 안 가면 안돼여 키키! 마자유 집안에서 이렇게 죽을 순 없어유 마스크 꼭꼭 쓰고 백신 맞고 가야제 여행을 넘 가고 싶은 곳 있어? 나는 독일 가서 사온 수제소세지에 맥주! 와우 그 오빠 생각나넹 독일로 심장 이식 수술 하러 간다던 아니면 러시아 가서 보드카에 대게! 키키 먹는다는 거에 진심인 편! 키키 식도락 여행이군 키키 먹고 죽은 귀신이 때깔이 좋아 키키 지금부터라도 여행 적금 들어야겠어 적금 들 돈 어딨니...? 적금 들 돈 좀 더 줘 음 5만원이라도 어때...?? 제주도도 좋쥐 좋아 제주도는 아주 포화상태여. 여기저기 인간들이
일반 대화,4,아 아니 계속 비 오다가 어제 오늘 날씨 좋넹 주말에 날씨 좋드라 ~ ~ 하늘이 너무 이뻤어 해가 오랜만인 느낌이었어 근데 또 또 태풍이 온다던디. ㅜㅜ 근데 또 무슨 태풍이 올라 오드라 ㅡㅡ 아 맞어 나도 봤어 ㅜㅜ 징한놈의 날씨 아 그래 시댁 배가 다 안 떨어지게 생겼어 ㅡㅡ 집콕? 하는 것도 짜증 나고만 태풍까지 오고 그래 해가 안 떠서 배 못 땄거든 ㅠ 오메 우리도 시댁도 배농사 하시는디 ㅜㅜ 아 진짜 키키 넌 배 따러 가도 얼마 안 가지...? 난 애기가 있잖니.... 그냥 구경만 해야지 난 배 따러 가야 행... 키키 레알? 너가 배를 딴다고? 키키 키키 사실 따진 않구... 포장 작업 전담이야 알바만 해도 다리가 붓던 * * 가...
일반 대화,4,"재난 지원금 신청 하셨나유? 당빠져! 제 날짜에 바로 신청 ㄱ ㄱ 신청 했어요 오 저두 지원금 이미 받아서 지금 쏠쏠하이 사용 중입니더 아휴 ~ 나라에서 매년 이렇게 재난 지원금을 주니 감사하다 뭔가 쏠쏠하지? 넌 주로 어디 썼니? 키키 요즘 나는 애기 이유식 반찬 재료, 밥 반찬 재료... 등등 키키 우리 집도 99 % 식비 키키 거의 다 식비로 많이 지출하는 듯 키키 엉 참 살림해보니 식비가 장난 아냐 나도 식비가 일케 나가는 줄 모르고 많이 썼었네 키키 배달 줄여야 되는데... 포기가 안 된당 ~ 배달 너무 편하고 맛있고 좋아서 맞제 특히 피곤할때 때 포기 못행... 삼시세끼 요리하는 엄마들은 대단쓰... 그런 엄마들이 어디 있냐... 없을껄... 삼식이 아빠는 나빠여! _ ㅡ _"
일반 대화,4,. 아니 미국 동물원에 고릴라가 코로나 걸렸대.... 뭐에? 고릴라가 코로나에 걸렸다고? 13마리나 집단 감염! 우짜노야 아니 근데 고릴라도 왜 코로나에 걸려? 엉? 사육사한테 옮았대 세상에나. 헐 사람한테서 옮은 거야? 우짜노... 진주에서는 반려묘? 였나 반려견이었나 걸렸었음 ㄷㄷ 세상에나.... 코로나가 진짜 세상을 바꿔다 놓았어 우리 개벅수도 조심해야겠넹! 우리 강쥐도 마스크 있나? 있긴 마스크 있더라...? 근데 개벅수는 1초 만에 벗을 듯... 그냥 그냥 바로 씹어서 갈기갈기 될 뻔한 듯... 키키 당근... 산책을 사람 없는 곳으로 갈 수밖에. 그럴 수밖에. 사람 없는 시간과 장소를 골라야지 웅 감빵이들도 코로나 조심행! 그래야지 우리 귀염둥이 감빵이 ㅜㅜ
일반 대화,4,필러 맞고 싶당... 필러를 안 맞는다고? 어디에? 이마.... 눈가 주름 자글자글한 이건 뭐 해야 하지? 난 내 이마에 많이 맞았었지... 훗... 이제 다 빠졌지? 그거 얼마 갔어? 한 1년 간 거 같은데 다 빠지고 울퉁불퉁한 이마 됐어? ㅜㅜ 아 너 진짜 울퉁불퉁해져? 빠지면? 필러도 좋은 걸로 맞아야 해 ~ ~ 아 그래? 좋은 건 건 뭐고 안 좋은 건 건 뭐야 입자가 고운 게 더 좋은 거고 히알루론산? 그거 들어간 게 좋은 거래 내가 선택할 수가 있는 거야? 개 아프지? 웅. 선택은 할 할 수 있고 아프진 않아 키키 마취를 해서 마취도 해? 아 세상에나 그럼 맞을 만한데? 마취크림 안 바르고 필러 놓으니까 맞고 나서가 아프제 ㅜㅜ * * 는 너 왜 마취도 안 하고 맞았나 뒤질 뻔했다던데 헐 왜 마취크림 안 바르고 했때?
일반 대화,4,* * 씨 건강 검진 하셨나유 네 저는 취직을 위해서 했습니다 올해 안에 가야 되는디... 나라에서 해주는 거 가야 되는 거야?. 아 취직을 안 하기 전에 빨리 해오라던가유? 웅 취직 그기 전에 건강검진 필수래여! 엉? 나라에서 해주는 그런 거 안 가면 불이익이 있뎅 어? 맞어 그거 빨리 받아야지. 나중에 불이익이 없다드라 ㅜ 올해가 벌써 3개월 남아서 키키 빨리 가라 ~ ~ 좀 더 늦어지면 이제 안 간다 키키 살 좀 빼고 가고 싶었는데... 아무래도 어려울 듯요. 그건 인류의 문제니까 넣어두고 어서 다녀오슈 키키 내시경도 했어? 그게 또 무섭네. 위내시경은 마취도 안 하고 했음 음하하 뭐라고? 개 독하네 이 미친 사람 왜 그랬는데 그냥 마취하기 싫어서 몸에 안 좋을까 봐 키키
일반 대화,4,. 인터넷 쇼핑 끊는 거 법 좀요 죽어야 됩니다. 살아서는 방법이 없어요 키키 보면 사고 싶냐...? 듯 막 자질구레한 것들 장바구니에 넣고 보면 20만 원 원 원이여 그니까 키키 장바구니 넣어 놓고는 일주일 뒤에 결제하기도 해봤는데 월급은 스쳐갈 뿐 그냥 한순간에 텅 ~ 장 되는 기야 배송만 좀 늦출 뿐... 그냥 좀 빨리 사야 함 맞어 고민은 배송만 늦출릴 때 뿐이야 그냥 사! 키키 다 똑같군요 택배 문자가 젤 반갑구 고민할 동안에 품절 되면 너무 많이 짜증 난다구요 ~ 꼭 엄청 기다리는 상품은 진짜 젤 늦게 옴 ~ 맞아 목 빠지게 기다리는 제품이 제일 늦어 키키 택배 파업 할 때 진짜 속 터져 디짐요 와 내가 가서 찾아올 뻔했자나요 택배 물류 창고 가서 저 물류 창고 갔습니다요 나도 못 갔지요 ~. 근데 아직 못 찾겠드라... 넘 많아서
일반 대화,4,* * * 씨 스우파 안 보십니꺼? 아 안 보는 사람 있나여?? 키키 역시 키키 최애캐가 누구신가여 노제 왤케 넘 이쁘냐 춤도 넘 넘 잘 추고. 아 진짜 걔가 이채연보다 100배 이쁨 난 립제이가 좋아 키키 얼굴 너무 매력 있어. 나두 나두 립제이 넘 매력적 근데 와 모니카 ; ; 몬익화 언니는 포스가... ㅎㄷㄷ임 거의 교수님급 서태지 할 때 진짜 쌉소름 끼침 ㄷㄷ 니네 다 뒤졌어 ~ 할 때 놀랬자나 ; 난 시미즈 좋아행 시미즈 본명 아니? 아 ~ 시미즈 본명 모르제 알아서 뭐 하누 * * * 아 이랭 키키야 그래서 시미즈 키키가 진짜 넘 귀엽징 헐 ; 키키 빨리 말하면 글케 되는 거야? 키키 넘 귀여웡 드디어 낼 한다 낼 또 봐야제 본방사수 간다
일반 대화,4,최근에 본 영화 있습니꺼? 키키 아니여. 영화관 언제 갔는지 기억도 안 나네 ㅜㅜ 최근에 본 웹툰은여...?. 영화 보러 가고 싶다... 아니 팝콘 먹으러 가고 싶다 키키가 영화관에서 팝콘 배달해주더라... 아! 여기 있다 있어! 집에서 본 영화 제목이 기억 안 나네 ㅠㅠ 아 키키 몬디 몬디 난 모가디슈가 젤 최근인건 듯... 모가디슈 내용이 뭐야?. 그 막 있어 봐봐 하하 오지게 재밌음 아 내가 본 영화는 할머니가 손주 키우는 건데... 키키가 집으로 아니냐? 미나리? 할머니 나오는 거부터가 눈물 아니냐 ㅠㅠ 개눈물이지 할머니 그냥 내 눈물 버튼 집으로래 ㅠㅠ 키키 개웃기네 진짜 아니여 유승호면 기억하제 키키 야 나 집으로 완전 오열각이라고... 포스터도 못 보겠음 포스터도 잘 못 보겠대 ㅠㅠ 키키 오열각 ㅜㅜ
일반 대화,4,야 백신 부작용에 식욕 증진도 있냐? 키키 나 그랬음 평소보다 여러가지가 땡기더라고? 그럼 부작용도 맞네... 왜 이렇게 먹어도 배고프지? 바이러스 이겨내려면 많이 먹어서 힘내야 되니까 그런 듯 하하. 그것도 맞네? 바로 그럼 치킨 주문할까 오 단백질 보충을 할라고? 후라이드는 먹어주라 치킨은? 당연히 후라이드지 ㅡㅡ 근데 오늘은 피나치공이 땡기네 피나치공 고구마피자 존맛 인 거 알지...? 그거 모르면 간첩이지. 니가 말하니까 나도 피나치공이 먹고 싶네? 당장 시켜 시켜 시켜! 고민은 먹는 데 시간만 늦출 뿐! 니가 말 듣고 감동 받아서 바로 바로 시켰음 술은 잘 못 마시니까 콜라나 사이다도 시켰겠지? 당연한 듯 키키가 말이라고 키키 리뷰 이벤트도 참가함 키키 나도 오랜만에 피나치공이나 시킬까? 배고파? 야 같이 줌 켜서 먹을래? 먹방처럼! 키키 키키 오면 좋은 생각이다 그럼 바로 나도 시킨다 ~
일반 대화,4,니가 오늘의 집 어플 써봤음? 한번도 안 써봤는데? 아 근데 갑자기 왜? 나 친구 집들이 선물 살라는데 주변에서 막 거기 이쁜 거 거 많다길래 나도 처음 들어보긴 했음. 근데 난 진짜 실제로 써본 적은 없네 ㅜ 거기 상품도 많고 다른 사람들이 어떻게 인테리어하고 사는지도 볼 수는 있대 오 그럼 그런 거 보면서 상품이나 정보도 알 수 있는 거가? 응응 그런 게 유명한 이유인 거 같은데? 살짝 안 들어가 봤는데? 거기도 진짜 좋은 거 많더라고 오... 나 마침 방에서 간접 조명 같은 거 사고 사고 싶은데 한번 볼까? 가격도 생각보다 안 되게 비싸더라. 그리고 어떤 그런 건 당일 배송해줌 와 거의 쿠팡이네? 일단 바로 설치해서 구경해야겠다 친구 초대하면 둘 다 할인 쿠폰 준다는데 회원 가입할 때 내 아이디 넣어줘 ㅇㅋㅇㅋ 그럼 친구 간접 조명이랑 같이 좀 두꺼운 이불도 괜찮은 거 있는지 봐야지 나도 친구 간접 조명 줄까나 간접 조명 있으면 집 분위기 확 살잖아 그치? 그치 같이 보자 나도 어차피 그거 사야 하니까 그럼 내가 미리 보고 있을게 내 아이디도 알려줄게 ^ ^ 쿠폰 발급 완료 ~ 이제 같이 보자 뭐 있는지!
일반 대화,4,"야 이번에 현대에서 새로 나온 캐스퍼 봤나? 캐스퍼? 아니? 아 근데 이름이 되게 캐릭터의 이름 같다 사회 초년생 여자 노리고 나온 모델인데 검색해봐 오 ~ 근데 경차 안 사람 같다 모닝이나 이런 거에 비해 더 귀엽고 디자인 좋네? 그치 ㅜㅜ 아 아 나 지금 저거에 꽂혔어.... 근데 니가 운전을 많이 하고 다니진 않잖아? 있으면 삶의 모든 질은 올라갈 거 아냐? 하하. 하긴 매번 쏘카 빌리거나 부모님 차 타는 거도 신경 쓰이긴 해 ~ 그리고 갚을 여력도 생겼거든? 하하 사전 예약도 이미 진행했던데? 아 그래? 근데 찾아보니까 저거는 차박도 안 한다고 해도 된다고 나와있네? 그치... 나 차박 진짜 로망인데 그거 보니까 더 뽐뿌와... 귀엽긴 너무 하네. 보통 차 검색 성비가 남 9, 여 1이라더니 캐스퍼는 여자 비율이 왜 그렇게 압도적으로 많네? 다 이유가 있어... 그거랑 비교해서 베뉴도 너무 귀엽던데 그거도 봐봐 오 이거도 생각보다 공간 크네? 나도 첫 차면 뭔가 너무 경차로 시작하고 사고 싶진 않아 웅 내 말이... 그렇다고 SUV는 너무 부담스러운데 저 친구들은 나한테는 딱이야.... 이미 살려고 맘은 먹었고 베뉴냐 캐스퍼냐 선택만 하면 되는 그런 거 아냐? 키키"
일반 대화,4,야 드디어 한 달 간 준비했던 회의 끝났다 맨날 야근하면서 준비하던 그 날 회의? 축하한다 ㅜㅜ 끝나면 한 잔 할려고 노력 했거든? 아 근데 힘 다 빠져서 침대로 와서 바로 눕고 싶어... 잠도 줄여가면서 일했는데 당연히 넉다운 되지 ~ 그래도 끝낸 거 너무 고마워 축하해 고맙다! 그래도 준비한 회의 만큼 결과는 나와서 맘은 편해 팀장은 별소리 안 하더나? 나도 칭찬 엄청 야박해 했잖아 웬일로 수고했다고 회의 끝나고 나서 바로 스타벅스 커피 내 자리 위에 올려놓고 가시더라? 오 ~ 약간 츤데레한 스타일이신 건가? 그건 몰라 키키 커피 한 잔에 이렇게 감동 먹을 일인가.... 키키 이제 그냥 잊어버려 ~ 끝난 게 중요한 거지! 그만큼 내 커리어도 쌓았구 그래 맞아 ~ 퇴근이 한 시간 남았다! 미리 밥을 시켜 놔야지 ~ 하하 정각 되면 바로 칼퇴해 진짜 닌 칼퇴 할 자격이 있다 당연하지 인사하고 나서 바로 지하철로 달려갈 거 텐 거야 야 오늘 저녁은 꼭 이걸로 먹어! 치킨은 항상 옳다 헐 감동이야 고마워 ㅜ 나도 치킨 시킬랬는데 고마워... ㅜㅜ 별말씀을! 너무 수고했고 푹 쉬자!
